# Time-averaged data for fix myat1
# TimeStep v_nDipole
0 71
1 86
2 86
3 86
4 95
5 78
6 92
7 77
8 67
9 75
10 74
11 70
12 80
13 87
14 79
15 80
16 81
17 92
18 74
19 78
20 85
21 90
22 75
23 76
24 64
25 71
26 77
27 71
28 66
29 66
30 74
31 65
32 69
33 67
34 69
35 74
36 75
37 75
38 82
39 77
40 80
41 81
42 86
43 76
44 74
45 76
46 79
47 85
48 81
49 81
50 84
51 90
52 92
53 93
54 74
55 78
56 87
57 84
58 77
59 86
60 64
61 55
62 70
63 74
64 71
65 71
66 81
67 81
68 84
69 77
70 91
71 93
72 81
73 79
74 77
75 72
76 77
77 67
78 59
79 64
80 74
81 89
82 77
83 84
84 67
85 65
86 59
87 55
88 63
89 70
90 76
91 70
92 76
93 70
94 73
95 72
96 63
97 56
98 68
99 75
100 76
