# Time-averaged data for fix myat1
# TimeStep v_nH2O
0 15
1 24
2 16
3 18
4 18
5 15
6 23
7 10
8 11
9 17
10 16
11 12
12 17
13 24
14 17
15 23
16 15
17 19
18 10
19 15
20 15
21 19
22 13
23 16
24 11
25 13
26 15
27 11
28 18
29 16
30 14
31 16
32 13
33 12
34 14
35 10
36 12
37 15
38 16
39 16
40 16
41 13
42 17
43 12
44 10
45 16
46 15
47 16
48 14
49 11
50 19
51 16
52 14
53 15
54 12
55 21
56 22
57 21
58 15
59 12
60 4
61 9
62 18
63 12
64 16
65 14
66 15
67 18
68 25
69 15
70 24
71 22
72 18
73 17
74 12
75 10
76 17
77 12
78 8
79 14
80 16
81 20
82 14
83 20
84 9
85 13
86 16
87 11
88 19
89 16
90 18
91 10
92 20
93 11
94 15
95 13
96 10
97 12
98 18
99 16
100 14
